['SearchAndRescue']	sir one my friend nepal amp cudnt able trace out please note mobileno request your kind help 
['Donations']	please donate 
['NewSubEvent']	some white guy 
['Donations']	far more info responsible amp effective give crisis situation find 
['GoodsServices']	bible 
['Donations']	all help 
['SearchAndRescue']	close home 
['InformationWanted']	where 
['Donations']	request my dear humanity friend donate generously towards pmnrf 
['SearchAndRescue']	my mother mr manju ghosal other relative stick kathmandu cell plz evacuate delhi 
['Donations']	also 
['Donations']	donate help fund 
['SearchAndRescue', 'InformationWanted']	know exact route trek company your friend travel more info 
['Donations']	consider donate registered tax exempt non profit 
['Donations']	more way help 
['SearchAndRescue']	miss 
['GoodsServices']	please send our best rescue team dahil matulongin 
['SearchAndRescue']	anyone see please 
['GoodsServices']	let go nearby blood bank donate blood 
['InformationWanted']	after shock still happen 
['InformationWanted']	earthquake nepal north east india seriously think info world many my friend want contact me 
['Volunteer']	let humanity prevail help 
['SearchAndRescue']	miss 
['Volunteer']	please reach out your fan support 
['Volunteer']	please reach out your fan support 
['Donations']	singapore red cross launch appeal fund nepal quake victim 
['Donations']	plz donate min per your capability pm relief fund needy people nepal use only follow link 
['Donations']	let raise money victim nepal ryan landgraf und prinz von hessen 
['GoodsServices']	please donate blood save life 
['InformationWanted']	look point me reliable relief effort nepal 
['NewSubEvent']	some human more equal 
['InformationWanted']	toll 
['SearchAndRescue']	nepal saturday leave plano man strand mount everest safe stick treacherous mountain 
['GoodsServices']	thinking crisis 
['Donations']	also reminder donate money earthquake relief cause nepal re financial standing any lil bit help 
['SearchAndRescue']	search dozen miss briton 
['Donations']	star express support nepal follow earthquake 
['Donations']	donate generously nepal earthquake 
['GoodsServices']	mt say nepal govt request intl assistance critical humanitarian need via 
['GoodsServices']	any artists out friends otherwise really make difference think provide track nepal please respond 
['Donations']	chennai student collect money relief material affect 
['Donations']	after earthquake appeal launch nepal 
['SearchAndRescue']	family say georgia man miss after nepal earthquake georgia man miss after catastro 
['Donations']	great idea 
['Donations']	heartfelt thanks treasured blogger support our appeal 
['InformationWanted']	friend kathmandu alone scar how best get airasia flight back home dm me thanks 
['Donations']	donate any prayer 
['SearchAndRescue']	hope see amp try bring ppl safety 
['Donations']	how donate some proceeds your sale city name use 
['NewSubEvent']	google adventurer die mt everest 
['InformationWanted']	status highway anyone 
['NewSubEvent']	om shanti 
['Donations']	earthquake relief severely damage gorkha region youcaring 
['Donations']	parliament live mp should give part salary nepal relief work say mulayam singh 
['SearchAndRescue']	over keralities trap earthquake hit nepal 
['Donations']	good cause people donate 
['Donations']	effect whole next generation nepalese trouble please consider donate 
['NewSubEvent']	telugu hero vijay pass away nepal earthquake 
['SearchAndRescue']	jalada wilson mother head zone find son hop ok 
['Donations']	nepal quake relief 
['Donations']	warmly appreciate comrade 
['Donations']	help raise fund contribute here your little contribution work wonder 
['NewSubEvent']	google exec die everest avalanche veteran google executive kill avalanche trigger nepal 
['InformationWanted']	money want donate blanket anyone know how 
['InformationWanted']	any update how well supply rescue team reach remote area hear some terrible news 
['Donations']	let 
['Donations']	pray nepal please text donate help affect awful tragedy 
['SearchAndRescue']	hugh sheridan fly nepal find little brother 
['SearchAndRescue']	where anna hazare 
['NewSubEvent']	telugu actor vijay die nepal earthquake 
['InformationWanted']	any relief fund nepal yes how may one donate help appreciate 
['Donations']	nepal earthquake relief fund 
['Donations']	way raise fund heal nepal 
['NewSubEvent']	santa monica base filmmaker among thousand kill nepal 
['GoodsServices']	anyone available 
['Donations']	donate 
['Donations']	thx lot share soon auction il divo item unique prize stay tune 
['Donations']	all mean pray also least send money something actually help someone 
['NewSubEvent']	because google understand why 
['Donations']	donate 
['Donations']	here how help victim nepal earthquake via apple itunes app store just 
['Donations']	wish month earning salary 
['NewSubEvent']	etakaram team dance master vijay die earth quake nepal cvr news via 
['GoodsServices']	via 
['Donations']	chennai student collect money relief material affect 
['InformationWanted']	kathmandu airport operate 
['Donations']	nepalese canadian group rally help post quake 
['SearchAndRescue']	mother amp son missin nepal ph mother 
['InformationWanted']	person ready work rescue op nepal ready varanasi provide u lead amp contact please 
['InformationWanted']	report come kathmandu people leave place probably home district ok risk free travel via bus across hill 
['Donations']	happen nepal truly heartbreaking please donate any amount 
['SearchAndRescue']	hugh sheridan fly nepal find little brother 
['Donations']	yes good mp should even agree send month quota subsidise food parliament canteen victim 
['Donations']	wiling donate money material fr should check webiste fb page work amazingly during 
['GoodsServices']	main priority foreign volunteer worker rescue worker now 
['Donations']	two way join nepal earthquake relief effort computer 
['InformationWanted']	anyone update me domestic flight status biratnagar kathmandu 
['SearchAndRescue']	help 
['Donations']	top story help child nepal donate earthquake response support uni see more 
['Donations']	worldvision red cross unicef global give 
['Donations']	thanks share link 
['InformationWanted']	feel much fishy trust only pmos relief fund still best donate generously 
['GoodsServices']	nepali expat uae seek urgent travel paper 
['SearchAndRescue']	look miss re trek guide sachit jung 
['Donations']	please donate nepal my initiative rajeev ranjan tiwari sbi ifsc brach code retweet message 
['Donations']	people pls donate need our help pls donate here 
['SearchAndRescue']	mallus everywhere always distress 
['Donations']	donate use paytm 
['Donations']	show your concern just pray nepal post win help anyone why don explore legit way donate instead try 
['GoodsServices']	gmin uk pokhara nearby gmin uk look volunteer gorkha contact mr robin 
['Donations']	one way contribute fund nepal 
['Donations']	work donate fr worry honesty assure reach victim 
['Donations']	someone suggest doctor without border way go amp when donate note money use nepal 
['SearchAndRescue']	please much possible 
['NewSubEvent']	actor vijay die quake via 
['GoodsServices']	anyone help 
['GoodsServices']	great job indeed 
['GoodsServices']	geospatial aid want 
['SearchAndRescue']	some victorian safe others still miss nepal 
['Donations']	heart broken former resident kathmandu need get your bank card out donate thank 
['Donations']	ya elli even felt happy all people contribute whatever all help people nepal proud my kid 
['SearchAndRescue']	bishop auckland woman miss nepal 
['Donations']	just donate appeal take minute please donate 
['Donations']	get donation already keep spread word people go help life nepal comeon 
['InformationWanted']	any way donate nepal earthquake xxx thank 
['SearchAndRescue']	dundee news two dundee woman among nepal miss 
['Donations']	few min re plan ground respond please donate 
['Donations']	just donate appeal take minute please donate 
['SearchAndRescue']	ll must share ll tourist gujarat strand nepal kin contact help 
['Donations']	vetted charity assist help nepal one ngo mention care work several 
['InformationWanted']	hello french journalist know some french people nepal reach report thanks 
['SearchAndRescue']	brooklyn backpacker among miss after avalanche trigger nepal new york daily news new york dail 
['Donations']	plz make donation nepal earth quake victim 
['Donations']	plz make donation nepal earth quake victim 
['InformationWanted']	my frnd frm russia ktm ovr weekend want volunteer relief ops any agency ngo org contact 
['SearchAndRescue']	two dundee woman among nepal miss everybody know preparedness everything yet other ha 
['Donations']	plz make donation nepal earth quake victim 
['GoodsServices']	earthquake survivor urgently need help give lifesaving food today help respond 
['Donations']	just donate don think 
['GoodsServices']	earthquake survivor urgently need help give lifesaving food today help respond 
['SearchAndRescue']	year old helen pounder county durham among people britain ireland miss nepal follow earthquake 
['Donations']	plz make donation nepal earth quake victim 
['SearchAndRescue']	nepal earthquake australian still miss 
['SearchAndRescue']	red cross irish british people miss 
['SearchAndRescue']	deniz csern oklavek luton marilyn ann harnett saffron walden still red cross miss list 
['InformationWanted']	win give ur review 
['GoodsServices']	hi prashant nepal hope safe might willing spk bbc world your say radio few hour 
['Donations']	make donation via our website 
['SearchAndRescue']	lummi island couple miss via 
['SearchAndRescue']	ten scot miss after nepal earthquake everest avalanche 
['SearchAndRescue']	two more resident report miss read here 
['Donations']	my friend nepal start personally help affected please support 
['GoodsServices']	hello ujjwal join u our debate evening gmt 
['InformationWanted']	here news volcano effect gorkha true 
['Donations']	donate via lt intrepid match donation 
['SearchAndRescue']	see couple please contact 
['Donations']	here some website where donate help thousand homeless distressed people nepal 
['GoodsServices']	would really appreciate provide free service nepal 
['Donations']	flash donor alert earthquake 
['Donations']	week re collect nepal quay match every donate our green bucket week 
['NewSubEvent']	sad news telugu actor vijay pass away via 
['Donations']	boy bad influence oh okay how tweet 
['SearchAndRescue']	hundred french still miss nepal local 
['Donations']	help nepal donate nepal earthquake victim 
['Donations']	thanks 
['SearchAndRescue']	now scots miss after nepal disaster 
['SearchAndRescue']	su brown amp glenda rumble still miss anybody information 
['Donations']	make donation hope too 
['SearchAndRescue']	scot miss after nepal disaster 
['MovePeople']	plz send our youth back country need village bury hold back 
['Donations']	donate nepal fund online here 
['SearchAndRescue']	scot miss after nepal disaster 
['Donations']	help nepal earthquake people donate 
['Donations']	re donate sale our nepal supplier pls amp help u help rebuild life 
['SearchAndRescue']	scot miss after nepal disaster 
['Donations']	aap mp khalsa donate one month salary quake victim nepal aam aadmi party mp harinder singh khalsa dec 
['Donations']	gt gt via vodka art bottle stand auction benefit nepal biddi 
['Donations']	help nepal earthquake people donate 
['Donations']	abch guyz plz donate let join our hand good cause 
['SearchAndRescue', 'InformationWanted']	anybody info people 
['Donations']	donate nepal here 
['SearchAndRescue']	basant gupta kindly arrange bring dinesh bhojwani wife nepal cell dinesh keep well 
['Donations']	doon school old boy raise money please log help medicine clothes need 
['Donations']	mapathon wednesday together oslo 
['Donations']	contribute much 
['Donations']	just my bit every online shopper out take out your debit credit card now donate 
['GoodsServices', 'MovePeople']	olny focus ktm plz mobilize your team rural area where people get anything yet 
['Donations']	donate nepal crisis simple text give 
['SearchAndRescue']	please any information contact 
[]	nepal quake tent city spring life katmandu transforming park sony tamand help aunt run pop 
[]	also please retweet tweet 
[]	tt ireland bournemouth nepal paddy power everton 
[]	tt new zealand nepal lili stevie john oliver 
[]	gurdwara committee setup nonstop langar nepal video 
[]	welcome home 
[]	ugh listening market janet parshall amp hear update nepal baltimore amp saeed abedini amp other american iran 
[]	un say israel responsible gaza shelter attack video grief stricken nepal mourns quake victim read 
[]	oh ffs 
[]	philippine trend change kevin love jk musical summer kristv nepal 
[]	bournemouth brann nepal cest 
[]	insensitive side during nepal tragedy 
[]	nepal just reject earthquake relief offend china 
[]	ruang event 
[]	facebook google nepal 
[]	nepal mission departs idf stand 
[]	face call him names hope achieve evn baba achieve 
[]	yeah nepal tho 
[]	best tweet see all night 
['Donations']	my part now up yours donate amp supportnepal text nepal 
['Donations']	friend nepal jewel india benefit via 
[]	all duplicate good make china flood indian mrkts come nepal contribute chinese eco 
[]	sa gift giver leave nepal gift giver leave nepal 
['Donations']	tom shoe position give partner respond typhoon haiyan 
['Donations']	justin amp support typhoon haiyan relief go chance meet lt go link 
['Donations']	great also commit some aid money thousand people mozambique whose home destroy face spread cholera second cyclone hit month desperately need 
['Donations']	would like help victim here article 
['NewSubEvent']	something happen now re tweet 
['InformationWanted']	hell go lax why something bad always happen airport day fly explain 
['NewSubEvent']	gunshot outside unknown anyone injured prayer go out all 
['NewSubEvent']	break shoot lax terminal source say report victim down suspect down 
['NewSubEvent']	gunfire report los angeles airport terminal pic via fox sport reporter 
[]	try find out happen apparently shoot 
['NewSubEvent']	update ground stop now effect traffic arrive los angeles int airport faa say 
['NewSubEvent']	report faa suspend flight into lax 
['NewSubEvent']	halt flight head into 
['NewSubEvent']	update shooting end suspect take into custody more detail come 
[]	lax shoot people airport share happen real time 
['InformationWanted']	why fayetteville think city wide curfew go help against hurricane evaluate u fayetteville government 
['InformationWanted']	guy still plan concert sunday charlotte hurricane my main concern would really like know plan ahead still 
['InformationWanted']	deliver during hurricane ask myself 
['Donations']	due hurricane out work week need get my house fix any donation would greatly appreciate receive one free month my onlyfans account payment go through my cashapp paypal love guy 
['Donations']	shelter sustain damage hurricane please consider donate repair damage 
['InformationWanted']	hi discuss rainfall flood potential north carolina southern appalachian tell me approximately blog update should look really appreciate your analysis just gather info since live foot away river 
['MovePeople']	bruhhh wth get ta go time evacuate national weather service hurricane advisory update east coast new path update 
['InformationWanted']	hi guy directly affect hurricane quickly use up my mobile data anyway help out thanks 
['InformationWanted']	exactly mile long barrier build conway mean people live along river swamps backwater didn flood during year flood hurricane matthew now 
['InformationWanted']	everyone still hang power flooding 
['Donations']	lot people need after off work all week storm donate your unused hurricane food one our location accept all non perishable food diaper formula pet food school supply gift card monetary donation through our fb page 
['Donations', 'CleanUp']	please support drive host cox mill athletics assist hurricane florence victim eastern north carolina 
['InformationWanted']	interested work fema help clean repair damage hurricane florence how get more info 
['Donations']	vender welcome apparel available donation victim also accept school supply good household item all profit donate hurricane victim 
['Donations']	visitor center accept item behalf alumnus association order help affect hurricane florence stop drop off your item 
['Donations']	get ready flo need community blood center carolina 
['InformationWanted']	know detail dallas shoot 
['InformationWanted']	hi use ur video dallas news report shooting swedish public tv erik web report 
['Donations']	help victim mar pls donate red cross smart please text red lt gt go 
['Donations']	help victim please donate red cross globe subscriber please text red lt gt 
['Donations']	help victim mar pls donate red cross smart please text red lt gt go 
['Donations']	blast rain let help affected gt text donation red lt space gt amount globe 
['InformationWanted']	someone know require aid amp relief service tweet detail use hashtag monitor 
['InformationWanted']	someone know need rescue please tweet name exact location contact info hashtag 
['Donations']	angel all smart user let donate just text red lt amount gt send go 
['Volunteer', 'Donations']	don just sit your butt something 
['InformationWanted']	use hastags suspension help rescue floo 
['InformationWanted']	important message require aid relief service 
['InformationWanted']	bacoor traffic may directly tweet get traffic other update bacoor 
['Donations']	please help resident purity st remmanville bicutan need food water lampas tao na ang 
['InformationWanted']	hashtag responsibly school suspension flood alert help ingat guy 
['Volunteer', 'Donations']	currently organize family affect call plsrt http 
['InformationWanted']	how works line local drrmcs nat support coord helps liaise 
['InformationWanted']	tweet update others re please 
['InformationWanted', 'Donations']	help affect family donate online help provide food water blanket essenti 
['Volunteer']	also need volunteer repacking relief operation please contact 
['InformationWanted']	makati public safety department 
['Volunteer']	volunteer appeal million battle manila flood 
['Donations']	may drop off donation any lbc branch turn over direct amp evac centre ht 
['Volunteer', 'Donations']	start accept donation open volunteer want help out pack good 
['Donations']	help affect typhoon mar donate red cross globe subs please text red lt gt 
['Donations']	victory center receive good 
['Donations']	sto domingo church along quezon ave open door evacuee need donation 
['Donations']	help victim donate good kind any mcdo store locate mm start today until aug 
['Volunteer']	need some volunteer sto domingo church male female would 
['Donations']	help victim donate good kind any mcdo store locate mm start today until aug 
['Donations']	hi everyone amp now accept donation mar relief pls spread word 
['Donations']	help victim amp donate red cross smart text red lt gt 
['Donations']	ua amp university student government need more sack rice call more donation 
['Donations']	surplus pickup vehicle enough donation contact 
['GoodsServices', 'Volunteer']	taguig resident enderun look food oook volunteer via 
['Donations']	hassle free donate simply click link 
['GoodsServices']	southridge school muntinlupa city near hillsborough village accepts donation cash amp kind preferably foo 
['Volunteer']	please volunteer nroc need call please share map gt 
['Donations']	help victim mar pls donate red cross smart please text red lt gt go 
['Volunteer', 'Donations']	reach out need your simple gesture help touch life iskompanion 
['Volunteer']	volunteer nroc need map gt via 
['Donations']	donate philippine flood victim xoom 
['Donations']	how donate dswd relief operation via globe gcash 
['GoodsServices']	ua amp relief ops need rice coffee milk noodles biscuit towel blanket amp toiletry medicine 
['GoodsServices']	volunteer now highly encourage come help repacking good 
['GoodsServices']	ua amp relief drive need more food donation especially rice good via 
['Volunteer']	volunteer nroc amp need pls call here map 
['Donations']	donate red cross via sm text red lt space gt amount send globe amp smart mag 
['GoodsServices']	mountaineer 
['GoodsServices']	pino relief ops pino resto bar malingap qc need paper napkin wrap sandwich until only see 
['Donations']	relief way folk accept donation here center meralco until friday 
['Donations']	help victim donate red cross smart please text red lt gt 
['GoodsServices']	homeless people live flood tunnel below la vega also here manila send u some help 
['Donations']	our donation channel open donate today visit 
['MovePeople']	think live boulder creek would good thing 
['MovePeople']	evacuation order town torrential rain front range urban corridor 
['MovePeople']	jamestown colorado under mandatory evacuation order due flash flooding 
['MovePeople']	jamestown colorado under mandatory evacuation order due flash flooding 
['InformationWanted']	loot increase crime weekend 
['CleanUp']	break news u now open sheridan mccaslin 
['Donations']	re look volunteer donate help clean up say stay home wait 
[]	smart life threaten boulder college student go tube video 
['MovePeople']	order mandatory evacuation southmoor park neighborhood 
['MovePeople']	seek high ground immediately wall water come down boulder canyon move away boulder creek 
['MovePeople']	cu alert wall water come down boulder canyon stay away boulder creek seek high ground immediately 
['MovePeople']	large surge water come down fourmile canyon down stream seek high ground ht 
['MovePeople']	large surge water report fourmile creek pass logan mill resident down stream should 
[]	colorado flood threaten more home another fear dead video 
['Donations']	best way help survivor first visit how make great impact 
['NewSubEvent']	re evacuation order longmont act now green champion green valley neighborhood 
['Donations']	much help lose everything 
['InformationWanted']	interesting holiday experience buying bottle water colorado because maybe tap water contaminate enormous flood 
['InformationWanted']	anyone know some vacant warehouse space near central boulder flood relief effort 
['InformationWanted']	oh any damage report earthquake costa rica now 
['NewSubEvent']	usgs revise costa rica earthquake magnitude detail here 
['NewSubEvent']	revise gt earthquake costa rica sep epicenter ago sse liberia depth 
['NewSubEvent']	usgs magnitude quake off costa rica reduce 
['NewSubEvent']	quake update cnn reporting all tsunami warning reduce costa rica quake 
['MovePeople']	advisory tsunami wave report yet alert precautionary evacuation recommend 
