priority,content
Low,smoke start become apparent horizon pass welcome wood buffalo sign km marker 
Low,update fort mac fire didn grow overnight hot dry weather today win help put out http 
Low,frightening amazing photo attempt slow fort mcmurray wildfire follow see all stay safe everyone 
Medium,approximate south fire location evacuated area map 
Low,listen rmwb wildfire press conference may mymcmurray 
Low,four legged friend also evacuate last night 
Low,full support complete fire ban should also include atv use nobody move nobody get hurt 
Low,view airport 
Low,plane over fort mcmurray evacuation zone still effect blaze hectare 
Low,approach now water bomber head towards smoke haze everywhere else crazy see 
Low,our community inspire thank 
Low,just witness rage drop cigarette butt road let keep safe folk 
Low,smoke flare along temperature here now 
Low,thank all volunteer professional keep u safe feed 
Low,stand solidarity tweet out update only today announce partner education reception postpone 
Low,after straight hour update news guy take nap stay safe tune into late 
Low,reminder special air quality statement effect area 
Low,smoke definitely get thicker fire official say condition would worst around 
Low,curious anyone else notice degrade quality cellular service today 
Low,start go hard again last couple hour 
Low,evacuation continue fire continue west 
Low,further update respect fire risk level rmwb hold press conference later evening 
Low,also lot ash come down 
Low,ominous sky fort mcmurray next update expect around 
Low,hop everyone remain safe fire go fort mcmurray 
Low,huge smoke cloud wildfire just outside fort mcmurray crew work control 
Low,smoke eerily veil sun 
Low,stay tune update press conference 
Low,kind cooky like 
Low,world thanks our staff go out way care student condition today 
Low,awesome thanks guy 
Low,my rooftop gregoire 
Low,please take emergency preparedness seriously folk proof necessary 
Low,fine ash layer windshield 
Low,only time fort mac get acknowledge world when burn down 
Low,check out some amazing scary photo stay safe 
Low,just incredible smoke sun 
Low,get pretty good ash shower over gregoire now fire appear move ne 
Low,update forest fire shift away home 
Low,pray wind remain calm ash fall like snow smoke drown out sun waterway 
Low,ll more information hour authority speak medium pm local time 
Low,let hope folk take heed such dangerous condition 
Low,wow amaze shot 
Low,view smoke plume suncor hwy north fort mcmurray cruise altitude 
Low,my thought resident affect grateful dedication our firefighter emergency worker 
Low,smoke plum see beaconhill 
Medium,resident ask only put out black bin waste scheduled garbage pick up store blue bin waste until further notice 
Low,await update situation update start 
Low,mayor blake re alberta forestry official give update fort mcmurray fire situation macdonald island park 
Low,forest fire prompt heartwarming response fort mcmurray resident https 
Low,high respect fort mcmurray fire fighter bomber guy amaze thanks keep u safe salute 
Low,blake note question spca care horse safe tower road property 
Low,press conference mayor blake begin 
Low,say resident prairie creek return home voluntary shelter place 
Medium,mandatory evac lift prairie creek centennial park mandatory evac still affect 
Medium,mandatory evacuation prairie creek lift shelter place voluntary evacuee prepare 
Low,mandatory evacuation centennial trailer park remain effect 
Medium,fire chief allen please stay away fire safety concern atvs ohvs affected area 
Low,fire chief great day u fire hasn get any close town 
Low,chief darby allen stress need atvs amp ohvs stay out backcountry most importantly away fire line 
Medium,fire official say now hectares size 
Low,allen jeep see same trail fire today hinder ability fight fire please let crew job 
Low,fire hasn come closer town today thanks hard work alberta forestry thanks your hard work 
Low,fire chief great day today west move closer move sw 
Low,say hectare however move closer fort mcmurray 
Medium,size fire ha much big than projection press conference 
Low,say tomorrow priority battle north flank during another challenging day tomorrow 
Low,tomorrow morning water drop fire fire housing fire likely shift overnight 
Low,chief darby re bless everyone great job building home affect town 
Low,property damage one hurt fire chief bless good weather 
Low,centennial park hold people still under mandatory evacuation tonight 
Low,allen say evacuee mcdonald island overnight 
Low,say crew amp helicopter face challenge access nearby water source speaks highly pilot ffs 
Low,allen re ask people use some common sense here stay away fire don want waste resource 
Low,tomorrow morning next update ll give more detail time 
Low,want send big thank every fire fighter volunteer amp person whose help situation past hr 
Low,icymi tonight partner education reception postpone out respect situation 
Low,prairie creek resident allow back home shelter place 
Medium,please avoid conjecture school closure watch our website twitter facebook update later tonight 
Low,any school relate information follow website up date info 
Low,shout out local medium amp communication great job keep u update appreciate my friend 
Low,resident prairie creek return home centennial trailer park still under mandatory evacuation 
Low,why doesn just enforce ban clearly some aren responsible enough 
Low,update wildfire near hold km west airport rd detail 
Low,fyi 
Low,prairie creek area resident already come home few spoke unpack 
Low,smoke heavy over our neighbourhood today 
Low,thanks bite size news tweet 
Low,very uneasy feeling tonight ash fall eagle ridge 
Low,view smoke my front step thickwood tonight 
Low,environment canada say fort mcmurray reach high tuesday 
Low,crazy amount ash fall sky tonight hood our van 
Low,thank service keep u safe everyone should give pat back fight 
Low,view southwest my balcony look close snow ash 
Low,sun shin through smoke make look crazy 
High,another wildfire just start sure where though 
Low,kind say always learn my way forward thanks your coverage 
Low,behold red sun fort mcmurray alberta 
Low,great job update our citizen never doubt community band together 
Low,thought citizen rmwb continue strong safe 
Low,full burn leaf my front walk timberlea travel quite distance still whole 
Low,ash fall outside grateful all update throughout day provide amazing community 
Low,stay safe everybody 
Low,smoke blanket sky here thickwood 
Low,ominous cloud highway head highway junction 
Low,stay safe hat off all crew volunteer 
Low,go ride tonight time get home my arm leg cover ash crazy 
Low,grateful awesome job brave men woman keep our community safe 
Low,oh now help tcuttheforestrybudget 
Medium,here updated map look like move away town 
Medium,updated map progress make may 
Low,word express gratitude everyone air ground thank 
Low,stop now impact response any other fire 
Low,would like thank volunteer firefighter amp everyone work hard handle fire safe 
Low,people venture into district great shot amp re diservice 
Low,don nenshi noun 
Low,scene bring late resident return home expect tomorrow 
Medium,first pic second mackay cres 
Low,firefighting effort end night taiganova fire mostly extinguish 
Medium,late fire map 
Medium,map accurate tonight thanks https 
Low,watch some resident return home report 
Low,danng happy hear got go home rest shelter soo sorry praying 
Low,when night fall all calm whisper wind hear anonymous http 
Medium,late map update more amp amp 
Medium,all fmpsd school open tuesday 
Medium,pray firefighter rain 
Low,ready go live late nearly smoky far morning 
Low,smoke significantly diminish near hopefully back end thanks all fight back 
Medium,live update situation last update fire move away 
Low,fort mcmurray fire join u live update wildfire fighting effort 
Low,yesterday stay safe everyone today suppose 
Low,prepared evacuate tonight via 
Medium,morning area burn south hectare size still out control 
Low,satellite truck ready go fort mcmurray ll cover fight effort all day htt 
Low,plz read decision make because budget lose coverage 
Low,crew gain ground blaze tension still high 
Low,gorgeous photo capture our region midst stay u discount rate 
Low,feel thankful amazing firefighter amp incredibly hard work keep burn down 
Medium,live out town suppose drive up post surgery appt should postpone 
Low,take extra care smoke situation happy 
Low,wildfire grow shift away mcmurray overnight 
Low,agree more many many many thanks still grateful enough 
Low,get our run before smoke come up valley today 
Low,helicopter fly overhead dump water yet look like re just get lay land http 
Low,hold another press conference regard ll carry live amp 
Medium,official say take big run overnight double size hectare more firefighter call 
Low,grow away town overnight reach athabasca river northern flank concern wind drive close town 
Low,update wildfire situation medium brief stream live online today detail come soon 
Low,fort mcmurray wildfire double size overnight 
Low,gain ground fire double size overnight check your source 
Low,fort mcmurray wildfire push back even temperature climb 
Medium,would like advise donation currently accept thank everyone your generosity 
Low,re grateful emergency personnel municipal provincial staff volunteer battle fire 
Medium,reminder evacuee welcome reception centre entrance golf course 
Medium,good morning landfill remain close until further notice precaution minimize risk staff amp customer 
Medium,watch emergency service aaf live update medium forest fire north west 
Low,state emergency remain double size update come try livestream 
Low,coverage update coming stay tune 
Low,live soon official late ft mcmurray wildfire 
Low,ready go press conference listen live amp 
Low,get update minute fire push back away 
Low,fort mcmurray fire update start min watch live here 
Medium,local office close until further notice look forward see again soon 
Low,wildfire double size overnight thgts much appreciation amp respect all help battle blaze 
Medium,medium brief wood buffalo forest fire start live http 
Low,live fort mcmurray fire official provide update wildfire situation 
Low,livestream actually around official run behind few minute 
Low,mayor blake up first re live amp 
Low,mayor blake point out today world asthma day 
Low,mayor melissa blake say fire grow estimate hectare 
Medium,fire double size hectare hectare 
Low,north fire near taiga nova very much under control say blake 
Medium,landfill still close re only pick up black bin until further notice 
Low,blake centennial campground mandatory evacuation still effect landfill very much still close only black bin currently 
Low,only pick up black bin landfill close due west fire 
Low,blake gratitude medium partner keep our community safe 
Low,thanks folk ground our medium partner 
Low,darby allen now say only guess size fire morning when pilot resume flight 
Low,allen say primary goal put fire out keep people safe 
Low,primary goal fight west fire figure out size little byproduct 
Medium,provide update say fire grow hectare vs yest http 
Low,allen say re rough day even though sky clear fire roar back 
Low,darby rough day fire wake up amp come back over next few day good see folk out prepared 
Low,weather today nice town allen warns fire wake up don lull into false sense security 
Low,re rough day say fire chief darby allen remind everyone re serious situation 
Low,regional fire chief say just because big plume aren doesn mean fire ok rough day 
Low,now bernie schmitte wildfire manager ab agriculture amp forestry start thank 
Low,bernie schmitte alberta forestry say incident management team assign manage fire 
Low,bernie schmitte now instant management team manage fire firefighter fire east edge closest 
Medium,say five hectare fire cross athabasca river firefighter en route 
Medium,five hectare spot fire cross athabasca river speask firefighter en route 
Medium,firefighter fire work east side closest say hectare spot fire cross athabasca river 
Medium,spot fire cross athabasca river crew target now 
Low,temperature predict reach high low humidity 
Low,schmitte challenge today due forecast wind out southeast southwest challenge effort today 
Low,spot fire become priority weather challenge make effort today difficult inversion hold smoke down 
Low,say forestry firefighter focus effort north fire today wind make fire challenging 
Low,schmitte tanker crew site work fire full crown fire expect 
Medium,inversion break around noon today ll see full crown fire 
Medium,ll start see full crown fire tree fully engulf around noon today 
Low,darby north fire all intensive purpose out 
Low,north fire taiga nova largely out some people look hot spot allen say worry 
Medium,north fire almost completely out say fire chief darby allen west fire our priority 
Low,darby west fire main concern amp priority where main focus 
Low,allen clarifies say north fire largely extinguished 
Low,fire condition today extreme expect able go more ferociously quick than day previous 
Low,darby fire condition extreme today similar yesterday tomorrow look similar 
Low,fire creep full tree candle inversion expect break around noon willl bring full crown fire 
Low,fire condition extreme amp humidity level lower say fire chief darby allen same forecast tmrw 
Medium,north fire km any residential area 
Low,right now crew confident spot fire win spread town 
Low,schmitte number one focus protection fort mcmurray human life community top priority 
Low,josh people fort mcmurray need bring rain forest fire close 
Low,our number one priority protection fort mcmurray say schmitte 
Low,fire north river kilometre thickwood 
Low,schmitte point say any point fire line safe contain 
Low,predict temperature condition come light condition bad today than yesterday 
Medium,schmitte fire hasn get close than km town past two day 
Low,schmitte say condition today realize predict bad than yesterday 
Low,schmitte say hangingstone river act natural barrier between fire condition today challenge 
Low,schmitte ash come down isn ignited burn 
Low,schmitte say fire run mostly west last night hit athabasca river where jump across 
Low,schmitte still concern northern flank fire due type tree amp wind challenge crew 
Low,say boreal forest fire dependent ecosystem tree specie adapt fire 
Low,schmitte more resource add every day logistics around bring ensure safety firefighter high priority 
Low,eight helicopter fight fire heavy helicopter here pm bucket hold gallon 
Low,overall fire bad today hangingstone river natural barrier btwn fire change condition fact 
Low,schmitte alberta forestry constant communication regional municipality evacuation around community 
Medium,allen say people wherever live should get kit ready just precaution long way off however 
Medium,darby serious situation prepare complexity around fight fire different challenge may present 
Low,fire chief allen re work fire give everything 
Low,one reportedly injure fire 
Low,darby weather isn help right now give every resource help fight one injure thus far 
Low,allen say report injury firefighter member public 
Low,firefighter typically work hour day 
Low,darby information release investigation challenge focus firefighting currently 
Low,still nothing investigation cause go challenge say allen priority fight fire now 
Medium,fire chief allen urge resident against use ohv atvs everyone safety 
Low,fire chief allen report any resident firefighter get hurt fire 
Low,scary situation size double mdt amp reporting fire burn over hectare 
Low,allen say continue live your life mindful fire situation change short notice 
Low,fire chief allen please mindful situation change short notice keep resident informed 
Low,don get up morning think fine ll tell when fine say allen 
Low,darby plan mind report folk sleep car trouble go evacuation centre 
Low,allen trouble some people find live car instead go macisland look after 
Low,allen say report some displaced people sleep car remind folk use centre macisland 
Low,darby next conference schedule afternoon 
Low,conference over another one afternoon 
Low,next medium update 
Medium,fire chief allen remind resident evacuation centre open place sleep food 
Low,allen confirms say atvs ohv wooded area supremely dangerous 
Low,wildfire near fort mcmurray grow more than hectare 
Low,fort mcmurray wildfire high temp low humidity create wildfire challenge tuesday 
Low,update fire condition extreme fire chief how fire bad tuesday 
Low,wildfire nearly double size 
Low,fort mcmurray fire boreal forest like burn make fight fire challenge 
Low,crew work warm temp amp strong wind expect more detail 
Low,ll get late hear scientist dave phillips heat alberta 
Low,audio here press conference morning full 
Low,fire condition extreme hard day ahead wildfire size double 
Low,next press conference afternoon ll keep update through well 
Medium,resident may see air traffic activity along hwy beacon hill south please don stop look leave space safety 
Low,audio wildfire press conference may 
Low,good week own car wash fort mcmurray 
Low,rough day fort mcmurray wildfire expect flare up tuesday afternoon 
Low,predict re see extreme fire behaviour result crossover cndtns 
Low,anyone share update map me seem find one 
Medium,seem north spot fire really get some fuel view real martin drive 
Low,flame jump athabasca river overnight 
Medium,slave lake wildfire offer orientation assistance 
Medium,view eagle ridge 
Medium,look much worse last minute 
Medium,outside kaos studio downtown fort mcmurray keep update afternoon 
Low,smoke outside my house right now crazy 
Low,major forest fire across canada 
Low,view park lot 
Low,wow crazy 
Low,today view 
Low,crew less slave lake department here now help local crew sprinkler prevention 
Medium,view our office king st manning ave promised smoke plume arrive 
Low,another view eagle ridge 
Low,bring sprinkler equip case local firefighter need protect house 
Low,rmwb building never look more like mordor than today damn suzuki 
Low,challenge day ahead forest fire double fort mcmurray today 
Low,photo take outside kaos studio downtown 
Low,people impact wildfire ahs here help useful information 
Low,forest fire still go near my city check out hashtag pic 
Low,look like freak apocalypse something 
Low,see clear flame where several kilometre away crown full effect right now 
Low,fire situation pretty bad sight timberlea 
Medium,wow look really close fortmac today office 
Low,rate smoke build up something never see before 
Low,view snye 
Low,get word daycare beacon hill evacuate update imminent 
Medium,resident remind stop roadway view fire activity please drive safely 
Low,rainbow hop double trouble mac thanks firefighter 
Low,evacuate precaution 
Low,break beyond resource too dangerous put men amp aircraft between fire 
Low,ya across river other side city fire absolutely massive tag 
Low,official order warn thickwood abasand beacon hill area near fire ready go 
Medium,fort mcmurray golf club already evacuate 
Medium,shot command centre courtesy 
Low,also anyone wonder council meeting officially cancel good chance change though 
Low,see mackay huge flame 
Medium,view timberlea 
Medium,hear road block real martin dr possibly signal road try get update fire rcmp 
Low,rmwb tell me aircraft trouble dump fire retardant because proximity water flight still happen 
Low,wildfire update downtown stay tune kaos ll keep updated 
Low,smoke move really fast wind push fire north east opposite way want go 
Low,god please protect my family friend whole community fort mac 
Low,official word yet possible evacuation order fire approach abasand prepare your emergency kit just case 
Low,keep safe always 
Low,rmwb area border real martin drive east thicket drive south thickwood voluntary evacuation notice 
Medium,also apply abasand beacon hill resident should prepare mandatory evacuation within minute 
Low,thought amp love everyone big ups all first responder volunteer up 
Low,ominous view my neighbourhood fort mcmurray aren cloud 
Low,forestry equipment crew thanks safe evacuate jet morning kearl hop burn out southbound 
Low,abasand beacon hill thickwood neighbourhood south thickwood dr between real martin dr thicket dr 
Low,anyone wonder fine two staff member already go home pack 
Medium,see clearwater inn right now 
Medium,resident need prepare mandatory evacuation min gather your bail out bag also apply abasand beacon hill 
Low,stay safe fort mcmurray see all pic read posting worry friend 
Low,view downtown alert abasand beaconhill amp thickwood 
Low,official say resident abasand beacon hill amp thickwood voluntary evac notice 
Low,three neighbourhood add voluntary evacuation resident should able leave within min 
Low,say voluntary evacuation mean resident should prepare evacuation min notice 
Low,reminder macdonald island park official evacuation destination 
Low,holy hell fletcher stay safe 
Medium,evacuation notice may 
Low,our sat truck op find safe venue heat pic dean 
Low,stay safe 
Low,dark enough shadow clearly see light right now 
Medium,please note due change forest fire condition keyano college clearwater industrial campus close 
Low,view abasand currently under voluntary evacuation 
Low,our thought everyone lt stay safe 
Low,work our own evacuation plan come most u live timberlea our laptop update website 
Low,develop wildfire fort mcmurray beyond resource official say http 
Low,parent arrive early pick up kid school voluntary evacuation area 
Low,current view our office king street manning ave 
Low,wow get real fort mac alberta 
Medium,spot fire yard beacon hill accord rcmp 
Low,official say any evacuee should head macdonald island park 
Low,evacuation notice 
Low,look like near me guy 
Low,scary reader photo everyone stay safe alert prepare 
Low,go school beau surreal 
Low,pray fort mcmurray everyone look really scary right now 
Low,late view fire park lot 
Low,official say resident abasand beacon hill amp thickwood voluntary evac notice 
High,update downtown 
Critical,mandatory evacuation notice may 
Critical,break mandatory evacuation notice issue abasand beacon hill grayling terrace evacuate immediately 
Critical,three neighbourhood now under mandatory evacuation order 
High,view abasand currently under voluntary evacuation 
Low,student father beauregard school good shepherd school father turcotte school 
Critical,develop wildfire fort mcmurray beyond resource official say http 
Critical,urgent all resident 
Critical,warn fire may beyond resource live grayling terrace beacon hill abasand evacuate now 
Critical,smoke move really fast wind push fire north east opposite way want go 
High,evacuee ask travel macdonald island park 
High,fort mcmurray forest fire get intense view downtown follow update 
Low,due forest fire today sustainable development committee meeting cancel 
Low,official say area between real martin dr thicket dr south thickwood blvd still under voluntary evacuation notice 
Medium,get some bag pack just case evacuation guess 
Medium,smoke move very fast really dark where 
Critical,highway hospital street entrance completely gridlocked people go home 
Medium,picture come out fort mac terrify hop everybody need evacuate get out safe building rebuild 
Medium,all hear right now downtown siren helicopter 
Medium,stand face fire abasand parent run into school get kid 
High,update three fort mcmurray neighbourhood evacuate due wildfire 
Low,anyone wonder fine two staff member already go home pack 
High,hundred tell leave home evacuation order expand fort mcmurray 
Low,stay safe family friend thank fire fighter water bomber amp first responder work keep community safe 
High,update fort mcmurray resident tell evacuate wildfire rage 
Low,re all think hop best 
High,photo community wildfire situation out control give emergency personnel room work 
High,critical situation mandatory evacs absand beacon hill grayline terrace neighbourhood wind sw km 
Critical,where 
Low,pray everyone up fort mac safe get fire under control 
Critical,mandatory evacuation abasand beacon hill amp grayling terrace 
Critical,massive traffic jam people abasand area flee home school 
Critical,within minute shift voluntary evacuation mandatory one 
High,rough day fort mcmurray wildfire expect flare up tuesday afternoon 
Low,council cancel evening sustainable development committee cancel too 
Low,well boys busy pack up my house vs political debate 
Medium,transit service temporarily halt bus service abasand beacon hill until further notice 
Critical,abasand grayling terrace beacon hill face mandatory evacuation order 
Medium,fire condition extreme hard day ahead wildfire size double https 
Low,mean amount resource help don enough safe 
Low,go ask help other province help put out fire 
Low,trav terrible 
High,sound like get worse listen late 
Medium,follow amp break news evacuation 
Low,get pic dear friend backyard all see just field away fire ash smoke prayer 
High,fort mcmurray resident evacuate three neighbourhood due 
Low,hop everyone get out safe god bless 
High,wood buffalo transit stop all bus service area evacuate 
Medium,realize firefighter say isnt safe right now some area fight fire 
High,uh get kind ridiculous 
Low,please note due change forest fire condition keyano college clearwater industrial campus close 
Medium,just big wind gust pick up dust into twister shape shingle fly off house 
High,fort mcmurray first nation chief kreutzer open indian beach any evacuee prefer camp call info 
Low,point radio station stop running advertisement music information should constantly repeat now 
Low,crazy scary photo fire fort mcmurray my sister just send me please share 
Low,lot people highway kind eerie outside right now 
Low,school scale down municipal operation maintain minimum manning council meeting tonight cancel 
Low,our office temporarily close due need assistance please call our division office stay safe 
Medium,fort mcmurray under fire thereat pic my patio worry 
Low,both keyano college campus close 
Low,keyano college clearwater industrial campus close class cancel until further notice 
Critical,wildfire update may 
High,abasand beacon hill amp grayling terrace under mandatory evacuation 
High,thought prayer all family affect well all first responder friend involve 
High,fort mcmurray wildfire force mandatory evacuation more neighbourhood 
High,view downtown alert abasand beaconhill amp thickwood 
Low,thanks give u update 
High,get scary lot employee here site need get home evacuate 
Low,ll late come up 
Critical,rmwb ask resident avoid area under evacuation notice 
High,get your back 
Low,come after grab photo go home pack just me office 
High,now tell resident return home evacuation zone even pet 
High,more fort mcmurray where wildfire situation worsen tuesday afternoon 
Low,view my friend backyard hope pray 
Low,quite large pyrocumulus cloud associate fire fort mcmurray 
Critical,rcmp go door door re abasand grayling terrace beacon hill go macdonald island mandatory evacuation 
High,hi highway open however may traffic delay 
Medium,shot command centre courtesy 
Medium,people fill up gas leave still large lineup get out area 
Low,video go fort mac fire spread please stay safe 
Critical,situation change drastically last hour 
High,friend just share picture hope everybody stay safe 
High,here late fort mcmurray wildfire situation 
High,people ask return home aren stay away 
High,wow fire now reach beacon hill fort mcmurray 
Low,my thought displaced resident amp my thanks go out first responder please stay safe develops 
Medium,sign flame abasand yet thick smoke wind gust lot ash though 
Low,hey fort mac people stay safe possession always replace life 
Medium,smoke get way thicker ground level now lot emergency vehicle head south hwy 
High,official tell anyone evacuate return home 
High,highway open please expect delay result traffic congestion 
Medium,fort mcmurray wildfire highway north tuesday afternoon 
Medium,my thought everyone go through 
High,state emergency remain double size update come try livestream 
Medium,still get worse wind ain help 
Low,thinking my friend near stay safe take care up 
Low,need place crash come here get couch bed floor backyard tent just come 
High,updated hundred fort mcmurray tell evacuate people currently home tell return 
High,rmwb remind resident hwy open expect delay traffic 
Low,jesus christ prayer up people northern ab 
High,look area under voluntary evacuation thickwood 
Low,stop cry worried my friend amp family thank god re strong group dang warrior fall apart 
Medium,wind pretty strong where smoke move fast 
Low,hey greenies compare ghg come afternoon emission all oil sand activity combine all year 
High,panorama outside my house timberlea smoke super bad here 
Low,pray fort mcmurray everyone look really scary right now 
Low,hate leave my house thinking last time see amp all inside such amzingly scary time 
Low,pic 
High,highway open re thickwood voluntary evacuation re ask head noralta lodge 
Low,feel helpless thought amp prayer everyone 
Medium,map official issue map indicate area under voluntary evac notice 
Low,now flame probably block half where 
Low,surreal please let everyone stay safe heartfelt gratitude firefighter volunteer 
High,fire smoke crazy 
Medium,just finish praying continue pray 
High,mandatory evacuation place fort mcmurray heart canada oil sand 
Low,hope all our member work safe 
High,area thickwood under voluntary evac order resident should prepare mandatory evac http 
