,content,categories,priority
80,20 family preemptively evacuate brgy pinugay baras rizal due threat flood rise lake water ,,
81,just get back office wasn t inform work suspend today just hate when delay announcement ,,
82,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
83,important local apps install dost project noah arko available io android ,,
84,keep safe madlang people ,,
85,click tropical storm 110 kph ,,
86,goodmooooorning safe prepare err one ,,
87,get mine last week ,,
88,goodmorning start darren espanto myxinvasion darren s soloalbum top itunes ,,
89,update 2 fisherman sorsogon city venture out sea amid rescued via dennis_datu via anc alert ,,
90,morning ,,
91,s rain day _ ,,
92,least 2 dead typhoon batter philippine ,,
93,pray everyone s safety h ,,
94,wait press briefing update ,,
95,just pray god save u keep u safe ,,
96,safe everyone ,,
97,know philippine well please safe hear news here typhoon powerful last year hope true ,,
98,thankyou lord re safe ,,
99,happen turn worse t drive out city your family re cod ,,
100,survive look like ll strand while yet all flight cancel ,,
101,goodmorning once again keep safe everyone god bless ,,
102,national regional local emergency number area affect ,,
103,breakfast like bad weather ,,
104,nabua road 2 albay passable small vehicle passenger walk instead report ,,
105,keep safe ,,
106,storm surge ,,
107,somebody spend yellow gemstone dispell s gust lol ,,
108,goodmorning keep safe everyone ,,
109,movie marathon internet hot choco cuddle weather ,,
110,goodmorning cold ,,
111,bed weather ,,
112,pray safety everyone nice day everyone ,,
113,how smile after please check our background ,,
114,keep safe ,,
115,folk lieu storm cancel mb christmas party tonight see all next monday dec 15 ,,
116,goodmorning signal number 2 parin kami ,,
117,calm before storm ,,
118,good morning stay safe everyone ,,
119,m pray my compassion brother family ,,
120,watch take over sea ,,
121,stay safe philppines ,,
122,safe everyone typhoonruby classsuspended restmode ,,
123,anonymous say when find out typhoon hit philippine my first thought oh my goodness ,,
124,typhoon look incredibly powerful thankfully look like s dissipate ,,
125,moonlight over astronaut take more pic directly above s eye ,,
126,philippine typhoon weaker still hazardous ,,
127,keep safe everyone ,,
128,pagasa although downgrade tropical storm still prepare bad case scenario ,,
129,super typhoon tropical storm continue pray still safe vigilant ,,
130,cook lunch while background ,,
131,typhoon hagupit phillippines degrade tropical storm over 900 000people evacuate phillippines ,,
132,christmas time anther typhoon hit philippine once again keep safe every one ,,
133,pray philippine ,,
134,hit southern tip batangas between 6 8pm ,,
135,3 000 people evacuate padre burgos calauag lope quezon 10 hr heavy rain here high flood risk ,,
136,typhoon hagupit toll rise three 890 000 people evacuate philippine ,,
137,take care baes hagupit aka ruby almost here love all god bless ,,
138,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
139,may may look someone willing help u update page twitter team farro philippine ,,
140,please pray philippine typhoon ruby reach s 3 landfall philippine area ,,
141,passport consular service suspend due ruby ,,
142,s start ,,
143,now anc pagasa press conference ,,
144,good job sec mar salamat ,,
145,cold morning few drizzle ,,
146,since m able run my errand go grocery shop instead wine must pic ,,
147,wish all best response ,,
148,emergency hotlines ,,
149,typhoon hammer philippine fight our survival trfn ,,
150,edsa s more beautiful without billboard photo george tapan true ,,
151,my prayer go out ,,
152,let u give moment pray our country pray every filipino find our way christ never let u down ,,
153,stay safe everyone wag ng mag selfie sa daan na may caption na love walk rain coz one know m cry ,,
154,today lazy monday ,,
155,mistress element inspire me make hope everyone ok ,,
156,stay safe everyone ,,
157,wan na dance love dance again ,,
158,call home mom say re fine only little rain now sure might rain harder later stay safe always ,,
159,filipino strong than ruby ,,
160,goodmorning ,,
161,bless able leave philippine right before typhoon m beyond worry my family ,,
162,mirof resource inc hire urgent kitchen assistant legazpi ,,
163,home ,,
164,win best dress male night last night our sector christmas party get starbucks gc hey ,,
165,wth signal 3 here omg save u ,,
166,typhoon ruby go away philippine ,,
167,after hagupit filipino spirit still unbreakable ,,
168,weather satellite feed dec 08 2014 11 00 via ,,
169,hear my mama s voice completely make my day 3 week until come home glad safe storm ,,
170,reckon hagupit ,,
171,take action support human right defender philippine ,,
172,god u let s pray everyone s safety ,,
173,pagasa expect exit par thursday evening ,,
174,welcome ,,
175,thank god aint cebu anymore god bless pinoys ,,
176,like how ndrrmc usec answer medium ,,
177,good morning monday stay safe everyone ,,
178,pagasa briefing now ongoing ,,
179,trend philippine 11 42 pht 1 2 3 4 ,,
180,typhoon ruby ,,
181,atm all me why cool man despite typhoon hagupit ,,
182,leave today because ,,
183,image hagupit ,,
184,because ,,
185,attend shortfilm festival award night munoz ecija hope follow ,,
186,australia extend sympathy support filipinos affect via ,,
187,monitoing via twitter ,,
188,even tho don t family area typhoon s hit ,,
189,don t leave your pet unattended ,,
190,accord my record gd weather only today next golf day next week ,,
191,hide mayhaps ah ok now make sense lol ,,
192,s rain again keep safe everyone ,,
193,ali ruby ali ,,
194,thanks man hopefully hagupit leaf before arrive ,,
195,typhoon hammer philippine fight our survival ,,
196,singapore today update hundred thousand filipino http t ,,
197,keep safe everyone ,,
198,keep safe everyone ,,
199,keep safeeee ,,
200,despite news hagupit here s some good news all proud ,,
201,breaking downgrade into tropical storm via ,,
202,light relief ops last thing want see food pack w name politician like one binay before ,,
203,despite bad weather should stay positive pray everyone s safety god bless ,,
204,goodmorning gabby keep safe mag ingat kay labyu ,,
205,grrr freeze ,,
206,hey m just gon na shake off shake off ,,
207,god always here stay safe everyone ,,
208,pray protection suspension ,,
209,ohhh lord please guide u today hope every body safe ,,
210,why get ta rude stay age dry ,,
211,please help u all prayer victim typhoon ruby here philippine thanks 51 ,,
212,drought ca typhoon philippine oh how nature work ,,
213,pagasa 24 hour tuesday morning 85 km southwest quezon city very very close ,,
214,keep safe guy take care cto mallen s vid ,,
215,please mom thanks ,,
216,pray philippine ,,
217,understand central hub all related concern ,,
218,yeah sta peregrina national high school ,,
219,dont school today bc s typhoon come ,,
220,why lamig ,,
221,take extra good care philippine ,,
222,understand central hub related concern ,,
223,look like right now coast legazpi after ,,
224,any volunteer work pack relief good update u please re willing help ,,
225,stay safe people nearby province spirit weather any storm like ,,
226,hit massively ,,
227,mint gale threaten recovery haiyan ,,
228,like winter here lol ,,
229,understand central hub related concern ,,
230,child need your help ,,
231,stay safe everyone god bless ,,
232,reckon ,,
233,typhoon b4 christmas win t stop d filipino way celebrate d most awaited holiday year ur nothin ,,
234,here come rain ,,
235,typhoon ,,
236,understand central hub related concern ,,
237,keep safe everyone don t forget pray ,,
238,typhoon update via ,,
239,stay safe philippine ,,
240,monday strangeness spicy champorado crispy because bacon chocolate ,,
241,stay safe guy ,,
242,moonlight over astronaut take more pic directly above s eye ,,
243,win t train today smh u ,,
244,via help u assess school damage due tweet u your photo hashtag ,,
245,thousand flee hagupit nears philippine ,,
246,everything own reason ,,
247,photo stay safe ,,
248,update 11 00am 8dec14 ,,
249,bella s bite blog cyclone update aka good data uni wisconsin oz ,,
250,help respond affect donate every little make difference ,,
251,pray protection suspension ,,
252,home la paz leyte build thru build back safer survive ,,
253,pray philippine ,,
254,typhoon hammer philippine fight our survival trfn yahoo news ,,
255,wintry mix hit monday morning hagupit weakens ,,
256,due typhoon class office only open till 2pm also give way our relief effort stay dry safe everyone ,,
257,national regional local emergency number area affect ,,
258,philippine typhoon weaker still hazardous ,,
259,everyone s safety all shipment today tom amp wed due typhoon ruby s expect landfall ,,
260,typhoon typhoon go away ,,
261,u think ,,
262,wan na help victim donate here through ,,
263,moreno people don t want evacuate wishful think namin na lahat makinig pero mayroon talagang hindi ,,
264,just say krtey h right now ,,
265,moonlight over astronaut take more pic directly above s eye ,,
266,god u let s pray everyone s safety ,,
267,keep safe guy may god bless u ,,
268,keepsafe guy ,,
269,lord cover u your most precious blood ,,
270,mayor jun rosales 2 senior citizen dead catarman northern samar least 1000 house destroy ,,
271,guy thanks ,,
272,response typhoon show lesson learn year ago ,,
273,re immortal fulfill deadline ,,
274,rude comment ok give japan more capable hindi pa rin tama komento nya u sure re journalist ,,
275,philippine typhoon weaker still hazardous hagupit leave three people dead force more than million away ho ,,
276,safe step emergency kit saw early very informative ,,
277,typhoon look incredibly powerful thankfully look like s dissipate ,,
278,rain rain go away ,,
279,lunch serve tara cuidad grande village bagbaguin ,,
280,stay safe ,,
281,stay safe re gon na hit typhoon evening ,,
282,now felt metro mla safe everyone ,,
283,typhoon hite through philippine ,,
284,god u let s pray everyone s safety ,,
285,repostapp via abc s hamish macdonald dig themselves out ,,
286,class tomorrow stay safe y all filipino mutuals ,,
287,make storm still wave sea hush psalm 107 29 esv ,,
288,weaker still hazardous ,,
289,quezon city dark cloud bring light rain over fairview area via ,,
290,while watch movie w my brother d watch maze runner ,,
291,philippine typhoon weaker still hazardous ,,
292,resident ravaged eastern samar hold up help me sign ,,
293,safe ,,
294,update follow ,,
295,please leave please ,,
296,now downgrade tropical storm good hear still make sure stay safe don t go out don t need ,,
297,cold monday everyjuan ,,
298,philippine 2 dead powerful storm ,,
299,live play dota2 ,,
300,astronaut s view hagupit ,,
301,close ,,
302,t may typhoon now s unload some rain here sure due pass 20nm s here 8pm ,,
303,typhoon hammer philippine fight our survival via ,,
304,moreno s good advise technology our first responder put too much danger when rescue people ,,
305,very early supension announcement again ,,
306,now anc pagasa press conference via anc alert ,,
307,pray protection suspension ,,
308,adprins final freakin thursday havent fimed our commercial yeeeet u ,,
309,huhhh bore raining hop s black out happen ,,
310,re class suspension tomorrow december 9 2014 stay safe totoo ba ,,
311,post 8 photo facebook album akbayanihan volunteer ,,
312,get stick philipinnes island cause storm all my flight cancel bad infrustructure make devastate ,,
313,pummels kill least two ,,
314,rappler downgrade into tropical storm pagasa storm warning ,,
315,while typhoon ruby hit philippine indonesia must prepare bagyong baldo ,,
316,stay safe alert ready amp dry all ,,
317,god u let s pray everyone s safety rubyph ,,
318,strand sa house cant go out ven inip much ,,
319,mrt ops until 7pm north ave 7 40pm taft ave mrt oic ,,
320,manila 1242 hr monday light steady rainfall coast guard military city national police deploy ,,
321,non stop rain since here little strong now safe everyone crucial hour calabarzon metro manila 6 8pm ,,
322,frequent typhoon like threaten food security action vital ,,
323,when give command even wind wave obey him luke 8 25 nlt ,,
324,lord god bless philippine people protect u your guidance love rubyph ,,
325,s one thing say filipino though s re resilient ,,
326,farm damage close p500m say da ,,
327,opo makulimlim d2 thank god light rain lang hagupit 1 guest re happy late ,,
328,s too busy check update twitter say ,,
329,understand central hub related concern ,,
330,gig gig ,,
331,weakens over read more ,,
332,another super typhoon hope last typhoon ,,
333,lord god bless philippine people protect u your guidance love ,,
334,hate u donut ruin place im gon na freakin kick ur arse out our country u freakin murderer ,,
335,filipino stay safe calm ,,
336,video powerful typhoon nears philippine ,,
337,because hagupit typhoon my plan today ruin waaahhhh please typhoon typhoon go ,,
338,good laugh read some tweet re ,,
339,typhoon slam philippine picture ,,
340,too ,,
341,stay safe let pray over our nation god always u ,,
342,strong wind cloudy sky heavy rain amp cold air feel ruby keep safe ,,
343,pray philippine ,,
344,philippine typhoon hagupit weakens ,,
345,take care keep safe guy ,,
346,update come 3 ,,
347,keep safe philippine ,,
348,all people philippine stay safe brace typhoon ruby make s land fall ,,
349,happy fiesta _ ,,
350,sandara park philippine beauty splurge all over innocence cr gd21gdyts ,,
351,typhoon tear down home disaster weary ,,
352,also say stay safe everyone ,,
353,anyone see typhoon coverage philippine ll definitely change one s perspective s truly important ,,
354,muntinlupa city class all level suspend tomorrow dec 9 2014 via move pt pls ,,
355,c joelbyn datu ,,
356,see any tweet group orgs re relief donation pls tag me compile map relief center ,,
357,keep safe ,,
358,volunteer orientation continuous repacking relief assistance ,,
359,due tropical storm ruby hagupit ff cebu incheon amp incheon cebu flight dec 8 amp 9 2014 cancel ,,
360,house build w recovery funding remain standing after ,,
361,glad hagupit ruby weaken ang huling cha cha ni anita tomorrow fullybooked s u view m ,,
362,philippine may seek up 600 000 tonne rice import after typhoon ,,
363,much left still smile much left jerry biraman s house after ,,
364,please pray philippine ,,
365,thank lord let our yearend event pas hope storm get lose sea ayaw na po namin ng baha ,,
366,god u ,,
367,trend philippine 01 29 pm pht 1 2 3 4 5 6 alonzo ,,
368,too shall pass ,,
369,stay safe everyone ,,
370,3 dead 900k evacuate typhoon slam philippine ,,
371,trend philippine 01 43 pm pht 1 2 3 4 5 ,,
372,3 dead 900k evacuate typhoon slam philippine ,,
373,my prayer win t help government s pig system too powerful ,,
374,lord god bless philippine people protect u your guidance love ,,
375,storm s really brew out hope people safe ,,
376,miss talk hahahaha m fine how typhoon here philippine ,,
377,reduce tropical storm orange warning hoist over metro mla let u prepare heavy intense rain keep safe dry ,,
378,typhoon look incredibly powerful thankfully look like s dissipate ,,
379,watch live update break news stream live anc dzmm teleradyo ,,
380,weakens over ,,
381,keep safe ,,
382,would rather go school than see country suffer ph ,,
383,typhoon hammer philippine fight our survival via ,,
384,reuters philippine may seek up 600 000 tonne rice import after typhoon ,,
385,lord forever grateful your save grace thank ,,
386,weakens ,,
387,update accordingly keep safe rizalians ,,
388,keep safe everyone ,,
389,make bad boy good weekend ,,
390,rain lash part investigation into space ,,
391,stay safe philippine ,,
392,love cuddle weather all still pray errbody s safety ,,
393,woooo almost 16 hour since start pour nonstop san pablo rain even get hard since last night ,,
394,feel ,,
395,yesterday 1 million evacuate typhoon engulfs photo ,,
396,announcement pagasa super typhoon strong my feeling putek advise feel same way too ,,
397,late field bulletin via philippine embassy ,,
398,look comfy d still choose my bed please ,,
399,more like ,,
400,typhoon look incredibly powerful thankfully look like s dissipate ,,
401,lt typhoon hagupit gt bad bed weather keep our morning class student brave storm train ,,
402,fmts only accept type 2 inpatient surgical emergency care med team amp fmts w exsting partnership w lgu deployment site ,,
403,typhoon hagupit continue sweep across philippine despite some death widespread damage appear avoid ,,
404,hope everyone find time hear mass say little prayer feast immaculate conception ,,
405,class suspension december 9 tuesday ,,
406,s reason class some office cancel today tomorrow peep please stay safe ,,
407,trend philippine 02 28 pm pht 1 2 3 4 5 ,,
408,keep safe guy ,,
409,sea threaten coast villager during ,,
410,keep safe everyone here philippine pray all god bless u all ,,
411,take care guy ,,
412,updated class suspension tuesday december 9 2014 ,,
413,keep safe always guy ,,
414,powerful typhoon hagupit slam into eastern philippine via ,,
415,bukas all level ,,
416,safe ,,
417,keep safe everyone ,,
418,such cold strong wind outside ,,
419,pray philippine especially my family right now ,,
420,don t pray suspension pray protection ,,
421,include one your tweet my blog tell me don t like ll remove tnx ,,
422,whoever read please pray philippine ,,
423,typhoon tear down home disaster weary ,,
424,y all stay safe love ,,
425,worth post ,,
426,champorado amp tuyo kind weather ,,
427,s bos cat own my bed hahaha ,,
428,include one your tweet my blog tell me don t like ll remove tnx ,,
429,hello mr blue sky ,,
430,late field bulletin via philippine embassy ,,
431,affected gazette ,,
432,ocd regional dir alejandro lv estimate damage agriculture around p90 m rice industry most affected ,,
433,keep safe everyone pray always godbless ,,
434,don t say calamity go somewhere else affect other nation korina sanchez your head s big t even use anymore ,,
435,stay safe everyone ,,
436,sun rise again alright ,,
437,typhoon hagupit continue sweep across philippine despite some death widespread damage appear avoided 0645 ,,
438,please advise mrt lrt operation end trip early due stay safe everyone ,,
439,safe my dear country ,,
440,keep safe prepare god u let pray everyone s safety ,,
441,bank open today decide close early also saw several office worker already head home paano naman kami ,,
442,stay safe everyone ,,
443,stay safe everyone x ,,
444,keep safe everyone god great than ,,
445,very dark sky make s presence felt all way here taiwan hope flight ,,
446,class suspend today tomorrow stay safe everyone ,,
447,5sos fam let s pray filipino fam philippine bc s typhoon filipino fam stay safe guy x thanks ,,
448,understand central hub related concern via ,,
449,actually get back saturday evacuate philippine because typhoon ,,
450,mt typhoon look incredibly powerful thankfully look like s dissipate via ,,
451,dont know makati ,,
452,awww sarah stay safe guy ,,
453,suddenly everything make sense me lt 3 ,,
454,dear god please protect u typhoon ruby sincerely yours philippine ,,
455,aftermath typhoon hagupit ,,
456,love one gather around tiny casket calbayog samar s lone fatality via ,,
457,photo s rain hard outside keep safe dry love god bless u all ,,
458,preparation amaze think filipino well learn yolanda experience appreciate tho keep safe everyone ,,
459,nature negotiate climate change here ,,
460,call donation drop off point vinzons hall query contact ayna punzalan 09066059566 ,,
461,happy feast day immaculate concepcion know u vs ,,
462,thank god ruby hagupit downgrade tropical storm though ,,
463,rainy afternoon po keep safe guy s godbless ,,
464,stay prepared vigilant safe everyone ,,
465,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
466,worry lot abt ppl my country make me sad all atm pray when where volunteer help ,,
467,flood update ,,
468,lord god pray spare our country destructive effect protect u wrath typhoon ,,
469,outsmart traffic jam amp flood w waze app ,,
470,good over cautious than caught unprepared stay safe everyone ali na please ,,
471,pray protection suspension ,,
472,continue weaken cross southern quezon morning now over tayabas ,,
473,welcome ,,
474,rain rain go away come again another year ,,
475,bagyo sleep over da best ツ ,,
476,afp 9 u 8 japan 4 australia 4 singapore advance assessment team arrive country u drt standy villamor air base ,,
477,weakens storm 3 dead adsbygoogle window ,,
478,stay safe philiphines ,,
479,walang pasok bukas lord help philippine please may time avenue u strong faith ,,
480,trend philippine 02 42 pm pht 1 2 3 4 5 ,,
481,keep safe everyone pray pray pray ,,
482,keep safe everyone ,,
483,gt gt charge your phone tablet laptops powerbanks etc ok bye ,,
484,interaksyon class suspension december 9 tuesday ,,
485,here come ,,
486,class tomorrow ,,
487,now sleep tight bukas ,,
488,pray philippine ,,
489,late night promotion ,,
490,prepare ,,
491,philippine sigh relief after hagupit mellows down livemint ,,
492,strong ,,
493,due liwanag park close start today dec 8 until further notice thank amp keep safe ,,
494,gt gt charge your phone tablet laptops powerbanks etc ,,
495,sometimes just want drop out move philippine help family rice farm ,,
496,class suspensons announce manila ,,
497,best photo see today ,,
498,keep safe everyone ,,
499,all news relate natabunan na ang amp other newsworthy story ,,
500,pleaseee please stop already bring enough damage ,,
501,prayer prayer prayer ,,
502,feel ya now ,,
503,s surname must lamyerda s literally stroll across visayas southern luzon 10kph safe folk ,,
504,pray please ,,
505,even hit report should submit ,,
506,another typhoon philippine omg ,,
507,updated class suspension december 9 tuesday ,,
508,go away ,,
509,keep safe everyone ,,
510,stay safe ,,
511,one ,,
512,even human d midst uncertainty due mga walang mabuting gawa ,,
513,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
514,hope everybody s safe po ,,
515,survive hope other province survive too ,,
516,grand marian procession godbless amp keep safe everyone go away ,,
517,dear fuck bitch hate nobody like please leave right now ,,
518,rain rain go awayyy ,,
519,video typhoon hagupit bring 125mph wind typhoon hagupit sweep across philippine bring ,,
520,typhoon hagupit weaken over philippine world news 2014 watch ,,
521,live ph say r go hit storm pray u ph stop love godbless c ,,
522,now take bath ice bucket challenge ,,
523,dear mr hagupit k ruby please stop ruin my christmas birthday plan thank ,,
524,pray devastate anymore weaken ,,
525,bearrel ,,
526,ur such ho ,,
527,declare god s peace comfort over everyone protect ,,
528,typhoon hagupit leave trail devastation photo ap ,,
529,just stay here our house 3 feel wind here pent house too strong ,,
530,before ,,
531,class again tomorrow ,,
532,flight advisory due tropical storm ruby hagupit ff list cancelled ,,
533,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
534,keep pray y all ,,
535,caap all airport ready accommodate passenger ,,
536,pray ,,
537,s year since visit typhoon yolanda victim philippine thank justin ,,
538,follow follow game phtrending ,,
539,how save money ,,
540,signal 3 cold afternoon ,,
541,don t know anymaaaawr ,,
542,uplb current condition 22 degree 42 6 mm rain barometer read 751 8 mm rain fall slowly ,,
543,stay safe everyone ,,
544,keep safe everyone ,,
545,heck ,,
546,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
547,start pray instead complain blame weather anybody else win t make rain pas ,,
548,announcement pagasa super typhoon strong my feeling u advise feel same way too wewszxc ,,
549,please safe take precaution ,,
550,take bath scream cold never bother me anyway cry ,,
551,moonlight over s eye everyone pray ,,
552,yessss thank lord too far nasa bikol felt normal rainfall apec thanks 4 current ,,
553,im get really nervous ,,
554,flood alert survival preparedness tip ,,
555,pray protection suspension ,,
556,good over cautious than caught unprepared stay safe everyone ali na please ,,
557,get home early bec typhoon ,,
558,take care god bless everyone ,,
559,another storm test filipino resilience let u forget pray each other s safety í ½í ,,
560,stay safe ,,
561,lord god bless philippine people protect u your guidance love rubyph ,,
562,god u pray safe ,,
563,s sooo cold ,,
564,start darren espanto myxinvasion sam smith christmas signal ,,
565,safe god bless ,,
566,cave church amp school turn into evacuation center over 700 000 ppl ,,
567,happen when forget your morning sked your dentist inabutan ni ,,
568,announcement pagasa super typhoon strong my feeling advise feel same way too ,,
569,let u all pray ,,
570,let s pray our dear country ,,
571,stay safe everyone ,,
572,don t forget pray ,,
573,stay safe dry ,,
574,thank lord keep me my family safe sound hope also keep everyone safe storm ,,
575,would say same thing re s path difference between korina amp s broadcaster w int l audience amp m ,,
576,photo let our preparation include prayer let u humble ourselves seek mercy god ,,
577,happy hear my family friend back cebu now safe people visayas stay safe errbody ,,
578,might get deploy philippine humanitarian mission stoke ,,
579,wish don t cause damage like yolanda ,,
580,singapore red cross send team typhoon hit philippine donate 60 000 singapore singapore red cro ,,
581,ang cold cold mo ,,
582,keep safe everyone ,,
583,hide yo kid hide yo mamas charge yo phone stack yo food sense ruby ,,
584,thought prayer people philippine typhoon ,,
585,please safe everyone don t go anywhere s need stay your house instead above all pray always ,,
586,don t need perfect boyfriend all need happy relationship keep safe everyone ,,
587,c mon ruby go weak than ,,
588,keep safe everyone keep calm pray ,,
589,typhoon tear down home disaster weary ,,
590,god u let s pray everyone s safety ,,
591,two internet friend hope well ,,
592,typhoon ruby hagupit weaken into tropical storm ,,
593,typhoon hagupit kill least two storm buffet philippine day weaken monday ru ,,
594,keep safe guy ,,
595,keep safe everyone ,,
596,keep safe everyone landfall batangas tonight tssk hope wont bring major damage u ,,
597,kakairritate typhoon philippine cold im cold cloth cover my body because im cold ,,
598,pray ,,
599,hop cause power outage jk storm dosen t cause power outage ,,
600,week s edition ,,
601,pagasa 3pm orange warn calabarzon flood threaten low lie area landslides possible ,,
602,keep pray come true may exact package want ll god think best ,,
603,typhoon today look like s shrink ,,
604,our fellow igot7s other kpop fan currently under storm rubyph pls keep safe ,,
605,typhoon look incredibly powerful thankfully look like s dissipate ,,
606,stay safe guy ,,
607,stay safe philippine ,,
608,class suspension december 9 tuesday ,,
609,t s hagupit batter philippines storm buffet philippine day ,,
610,hot tea cold afternoon keep me stay bed all day much work need ,,
611,weather make me feel lonely also fact trb end m holdin bts promise next concert ,,
612,pray everybody stay safe during ,,
613,weaken storm near manila ,,
614,class tommorow ,,
615,hello hurricane re enough hello hurricane t silence my love ,,
616,here come rain let s pray ll over soon ,,
617,stay safe people pray ,,
618,sound trip dark gray rainy cold gloomy melancholic monday xx ,,
619,please ,,
620,news go exotic haiyan hagupit filipinos call typhoon yolanda ruby way more filipino methinks ,,
621,cold afternoon ,,
622,otw home stay safe everyone ,,
623,time go got review besafe guy ,,
624,filipino japanese org joyful brings english underprivileged japanese youth ,,
625,your support reach even more child affect typhoon gt ,,
626,love how my kinetics coach name work out tomorrow hagupit training shall expect body pain after ,,
627,kaaayyyy class allowance ,,
628,lot time study accounting haha ,,
629,trend worldwide taylor swift ,,
630,bed weatha pls safe everyone ,,
631,2015 now safe everyone ,,
632,hi please pray philippine due typhoon wind get strong right now rain im scar ,,
633,trend philippine 03 56 pm pht 1 2 3 4 5 ,,
634,see how people react when korina sanchez make comment how judgmental happen s point ,,
