,content,categories,priority
67,fire chief darby allen re good shape morning than thought would fire hasn move much overnight ,"['Hashtags', 'News']",Low
68,allen say re hop wind come north east bad direction would easterly wind ,['Hashtags'],Low
69,one kilometre away ,"['Location', 'MultimediaShare', 'Hashtags', 'News']",Medium
70,wildfire slow progression towards fort mcmurray neighbourhood ,"['MultimediaShare', 'Hashtags', 'News']",Medium
71,look like up date picture ,"['MultimediaShare', 'Hashtags']",Low
72,many people hose drive wasting water restriction come look already happen ,"['Hashtags', 'Advice']",Low
73,fire crew attack sign flame yet lot loud popping ,"['MultimediaShare', 'Hashtags']",Low
74,fort mcmurray wildfire update smoky condition trigger air quality alert ,"['MultimediaShare', 'News']",Low
75,wildfire stay put overnight ,"['Hashtags', 'News']",Low
76,fire chief say forestry send bomber due smoke only helicopter take run right now ,"['Hashtags', 'News']",Low
77,now trend ,['Hashtags'],Low
78,view southern entrance morning plan chopper attack ,"['MultimediaShare', 'Hashtags']",Low
79,thought prayer everyone impact wildfire stay up date ,"['Hashtags', 'Sentiment']",Low
80,special thank all volunteer staff firefighter pilot other first responder all hard work ,"['Hashtags', 'Sentiment']",Low
81,thanks much share too hard sleep wonder flame would creep closer night ,['Irrelevant'],Low
82,where our fearless leader through all even peep ,['Irrelevant'],Low
83,hold press conference re mayor blake amp alberta forestry hand ,"['Hashtags', 'News']",Low
84,burn out control other slave lake forest area nw red earth creek ,"['NewSubEvent', 'Hashtags', 'News']",High
85,thought prayer family firefighter staff volunteer first responder community ,['Hashtags'],Low
86,now map hectare per ,"['MultimediaShare', 'Factoid']",Low
87,great isn flood our twitter feed don already know last hour ,"['Hashtags', 'Discussion']",Low
88,oh look here say nothing ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
89,update fighting effort happen mt ll attempt livestream ,"['Hashtags', 'News']",Low
90,front line family relocate thanks all put damper ,"['Official', 'Hashtags', 'Sentiment']",Low
91,official update medium forest fire event tune into late ,"['Hashtags', 'News', 'Advice']",Low
92,see fire hazard rating remain very high ,"['MultimediaShare', 'Hashtags']",Medium
93,saw great post morning ,['Irrelevant'],Low
94,use river some building now smokey view ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
95,ready your neighborhood need evacuate tonight ,"['MultimediaShare', 'Hashtags', 'Advice']",Low
96,fantastic shot tracy very scary all u sure ,['Irrelevant'],Low
97,live now ft mcmurray official update wildfire situation ,"['MultimediaShare', 'News']",Low
98,mayor melissa blake speak press conference regard listen live amp ,"['Hashtags', 'News']",Low
99,technical update regional fire chief darby allen ,"['Hashtags', 'News']",Low
100,think everyone include first responder put themselves harm way stay safe everyone ,"['Hashtags', 'Sentiment']",Low
101,allen say diamondstone ridge fire hold member fight fire near taiga nova ,"['Location', 'Hashtags', 'News']",Medium
102,news conference wildfire fort mac right now our most recent update ,"['MultimediaShare', 'Hashtags', 'News']",Low
103,watch live update fort mcmurray wildfire fighting effort ,"['Hashtags', 'News']",Low
104,allen say significant change west fire good news u ,"['Hashtags', 'News']",Low
105,chief darby aircraft hard time see edge fire smoky condition ,"['Hashtags', 'News']",Low
106,still local state emergency accord ,"['Hashtags', 'News']",Low
107,allen say tanker lay retardant gap between fire hwy since ,"['ThirdPartyObservation', 'Hashtags', 'News']",Low
108,re expect bad fire condition happen afternoon mandatory evacuation still place ,"['ThirdPartyObservation', 'Hashtags', 'News']",Low
109,chief darby bad fire condition day expect around pm ,"['ThirdPartyObservation', 'Hashtags', 'News']",Low
110,chief darby urgent need volunteer wish sign up our rmwb ca ,"['Volunteer', 'ThirdPartyObservation', 'Hashtags', 'News']",Low
111,allen say expect bad fire occur around hope further update around ,"['Hashtags', 'News']",Medium
112,chief darby all volunteer shift fill volunteer future ,"['Volunteer', 'ThirdPartyObservation', 'Hashtags', 'News']",Low
113,fire chief say response community look volunteer heartwarming wonderful ,"['Hashtags', 'News', 'Sentiment']",Low
114,only thing hope pilot see good soon ,"['MultimediaShare', 'Hashtags', 'Sentiment']",Low
115,chief darby speaks press conference ,"['MultimediaShare', 'Hashtags', 'News']",Low
116,update fire hectare size hard currently gauge full size ,"['Factoid', 'Hashtags', 'News']",Medium
117,bernie schmidt forestry say hectare size hard tell smoke wind forecast out se ,"['Factoid', 'Hashtags', 'News']",Medium
118,forestry fire between hectare size ,"['Factoid', 'Hashtags', 'News']",Medium
119,firefighter prepare attack today chopper assign heavy chopper order air tanker group ,"['Factoid', 'Hashtags', 'News']",Low
120,crew look skim off gregoire lake load heavy duty air tanker ,"['Hashtags', 'News']",Low
121,predict crossover condition add increase fire behaviour later today ,['Hashtags'],Low
122,men currently fight total way across ab ,"['Factoid', 'Hashtags', 'News']",Low
123,total firefighter expect battle blaze near gregoire ,"['Factoid', 'Hashtags', 'News']",Low
124,chief allen amp bernie schmidt forestry hectare size hard tell ,"['Factoid', 'Hashtags', 'News']",Low
125,head fire lay low area closest ground fire hasn move into top tree ,"['Hashtags', 'News']",Low
126,chief darby our job ensure safety resident community situation ,"['Hashtags', 'News']",Low
127,between hectare official say hard get more precise size bc smoke ,"['Factoid', 'Hashtags', 'News']",Medium
128,say full crown fire near gregoire tree aren crown flame ,"['Location', 'Hashtags']",Low
129,allen say extremely dry spring lead four fire five day ,"['ThirdPartyObservation', 'Hashtags', 'News']",Low
130,firefighter currently fire deploy across province ,"['Factoid', 'Hashtags', 'News']",Low
131,allen guess dry spring year town ,"['ThirdPartyObservation', 'Hashtags', 'News']",Low
132,estimate fire hectare difficult get accurate map result heavy smoke ,"['Factoid', 'Hashtags']",Medium
133,all fire still under investigation ,"['Hashtags', 'News']",Low
134,press conference continue update through day may hold another conference later today ,"['Hashtags', 'News']",Low
135,evacuation situation unchanged progress make fire overnight smoke trap inversion cause problem ,"['Hashtags', 'News']",Low
136,fire chief say year way dry than previous year people need careful ,"['ThirdPartyObservation', 'Hashtags', 'News']",Low
137,our livestream end thanks watch ,"['Hashtags', 'News']",Low
138,say type incident management team work team expert manage complex incident ,['Hashtags'],Low
139,allen more encouraged today hit town slight sign change evacuation occ ,"['ThirdPartyObservation', 'Hashtags', 'News']",Low
140,finally map see deal fort mcmurray ,"['MultimediaShare', 'Hashtags']",Low
141,update evacuation order still place due detail here ,"['MultimediaShare', 'News']",Low
142,update evacuation order stay effect listen live ,"['MultimediaShare', 'Hashtags', 'News']",Low
143,province say send meca vehicle fort mcmurray request ,"['Hashtags', 'News']",Low
144,air clear thanks northeast wind doesn help fire hat off first responder fine ,"['Hashtags', 'Sentiment']",Low
145,live tweet our approach haze become apparent mark ,['Hashtags'],Low
146,over abundance chain smoker welder re use thick smoke ,['Irrelevant'],Low
147,hotel ready evacuate moment notice ,"['Location', 'MultimediaShare', 'Hashtags', 'News']",Low
148,rmwb hold press conference condition wildfire ,"['Hashtags', 'News']",Low
149,rmwb update wildfire ,"['MultimediaShare', 'News']",Low
150,stark reminder fire travel up midst today stay safe friend ,"['MultimediaShare', 'Hashtags', 'Sentiment']",Low
151,here our feature alberta fire crew learn emergency survival ,"['MultimediaShare', 'Hashtags', 'News']",Low
152,smoke start become apparent horizon pass welcome wood buffalo sign km marker ,"['Location', 'Hashtags']",Low
153,update fort mac fire didn grow overnight hot dry weather today win help put out http ,"['MultimediaShare', 'Hashtags']",Low
154,frightening amazing photo attempt slow fort mcmurray wildfire follow see all stay safe everyone ,['Hashtags'],Low
155,approximate south fire location evacuated area map ,"['Location', 'MultimediaShare', 'Hashtags']",Medium
156,listen rmwb wildfire press conference may mymcmurray ,"['Hashtags', 'Advice']",Low
157,four legged friend also evacuate last night ,"['MultimediaShare', 'Hashtags']",Low
158,full support complete fire ban should also include atv use nobody move nobody get hurt ,"['Hashtags', 'Discussion']",Low
159,view airport ,"['MultimediaShare', 'Hashtags', 'News']",Low
160,plane over fort mcmurray evacuation zone still effect blaze hectare ,"['MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
161,approach now water bomber head towards smoke haze everywhere else crazy see ,"['Hashtags', 'Discussion']",Low
162,our community inspire thank ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
163,just witness rage drop cigarette butt road let keep safe folk ,"['Hashtags', 'Advice', 'Discussion']",Low
164,smoke flare along temperature here now ,"['MultimediaShare', 'Hashtags', 'News']",Low
165,thank all volunteer professional keep u safe feed ,"['MultimediaShare', 'Hashtags', 'Sentiment']",Low
166,stand solidarity tweet out update only today announce partner education reception postpone ,"['Hashtags', 'Sentiment']",Low
167,after straight hour update news guy take nap stay safe tune into late ,"['Hashtags', 'News']",Low
168,reminder special air quality statement effect area ,"['Official', 'Hashtags']",Low
169,smoke definitely get thicker fire official say condition would worst around ,"['MultimediaShare', 'Hashtags', 'News']",Low
170,curious anyone else notice degrade quality cellular service today ,"['InformationWanted', 'Hashtags', 'Discussion']",Low
171,start go hard again last couple hour ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
172,evacuation continue fire continue west ,"['MultimediaShare', 'Hashtags', 'News']",Low
173,further update respect fire risk level rmwb hold press conference later evening ,"['Hashtags', 'News']",Low
174,also lot ash come down ,"['MultimediaShare', 'News']",Low
175,ominous sky fort mcmurray next update expect around ,"['MultimediaShare', 'Hashtags', 'News']",Low
176,hop everyone remain safe fire go fort mcmurray ,"['Hashtags', 'Sentiment']",Low
177,huge smoke cloud wildfire just outside fort mcmurray crew work control ,"['MultimediaShare', 'Hashtags', 'News']",Low
178,smoke eerily veil sun ,"['MultimediaShare', 'Hashtags', 'News']",Low
179,stay tune update press conference ,"['MultimediaShare', 'Hashtags', 'News', 'Advice']",Low
180,kind cooky like ,['Irrelevant'],Low
181,world thanks our staff go out way care student condition today ,"['Hashtags', 'Sentiment']",Low
182,awesome thanks guy ,"['Hashtags', 'Sentiment']",Low
183,my rooftop gregoire ,"['MultimediaShare', 'Discussion']",Low
184,please take emergency preparedness seriously folk proof necessary ,"['Hashtags', 'Advice']",Low
185,fine ash layer windshield ,"['MultimediaShare', 'Hashtags', 'News']",Low
186,only time fort mac get acknowledge world when burn down ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
187,check out some amazing scary photo stay safe ,"['MultimediaShare', 'Hashtags']",Low
188,just incredible smoke sun ,"['MultimediaShare', 'Hashtags', 'News']",Low
189,get pretty good ash shower over gregoire now fire appear move ne ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
190,update forest fire shift away home ,"['Hashtags', 'News']",Low
191,pray wind remain calm ash fall like snow smoke drown out sun waterway ,"['MultimediaShare', 'Hashtags', 'Sentiment']",Low
192,ll more information hour authority speak medium pm local time ,"['Hashtags', 'News', 'Discussion']",Low
193,let hope folk take heed such dangerous condition ,"['Official', 'Hashtags', 'Advice']",Low
194,wow amaze shot ,"['MultimediaShare', 'Hashtags']",Low
195,view smoke plume suncor hwy north fort mcmurray cruise altitude ,"['MultimediaShare', 'Hashtags']",Low
196,my thought resident affect grateful dedication our firefighter emergency worker ,"['Hashtags', 'Sentiment']",Low
197,smoke plum see beaconhill ,"['MultimediaShare', 'Hashtags']",Low
198,resident ask only put out black bin waste scheduled garbage pick up store blue bin waste until further notice ,"['Official', 'Hashtags', 'Advice']",Medium
199,await update situation update start ,"['MultimediaShare', 'Hashtags']",Low
200,mayor blake re alberta forestry official give update fort mcmurray fire situation macdonald island park ,['Hashtags'],Low
201,forest fire prompt heartwarming response fort mcmurray resident https ,"['MultimediaShare', 'Hashtags', 'News']",Low
202,high respect fort mcmurray fire fighter bomber guy amaze thanks keep u safe salute ,"['Hashtags', 'Sentiment']",Low
203,blake note question spca care horse safe tower road property ,"['Hashtags', 'Discussion']",Low
204,press conference mayor blake begin ,"['MultimediaShare', 'Hashtags', 'News']",Low
205,say resident prairie creek return home voluntary shelter place ,"['Hashtags', 'Advice']",Low
206,mandatory evac lift prairie creek centennial park mandatory evac still affect ,"['MultimediaShare', 'Hashtags', 'Advice']",Medium
207,mandatory evacuation prairie creek lift shelter place voluntary evacuee prepare ,"['MultimediaShare', 'Hashtags', 'News', 'Advice']",Medium
208,mandatory evacuation centennial trailer park remain effect ,"['Hashtags', 'Advice']",Low
209,fire chief allen please stay away fire safety concern atvs ohvs affected area ,"['Hashtags', 'News', 'Advice']",Medium
210,fire chief great day u fire hasn get any close town ,"['Hashtags', 'News']",Low
211,chief darby allen stress need atvs amp ohvs stay out backcountry most importantly away fire line ,"['Hashtags', 'Advice']",Low
212,fire official say now hectares size ,"['Factoid', 'Hashtags', 'News']",Medium
213,allen jeep see same trail fire today hinder ability fight fire please let crew job ,"['Hashtags', 'News', 'Advice']",Low
214,fire hasn come closer town today thanks hard work alberta forestry thanks your hard work ,"['Hashtags', 'News', 'Sentiment']",Low
215,fire chief great day today west move closer move sw ,"['MultimediaShare', 'Hashtags']",Low
216,say hectare however move closer fort mcmurray ,"['Factoid', 'Hashtags']",Low
217,size fire ha much big than projection press conference ,"['Factoid', 'Hashtags', 'News']",Medium
218,say tomorrow priority battle north flank during another challenging day tomorrow ,"['Hashtags', 'Discussion']",Low
219,tomorrow morning water drop fire fire housing fire likely shift overnight ,"['Hashtags', 'News']",Low
220,chief darby re bless everyone great job building home affect town ,"['Hashtags', 'News']",Low
221,property damage one hurt fire chief bless good weather ,"['Hashtags', 'Discussion']",Low
222,centennial park hold people still under mandatory evacuation tonight ,"['Factoid', 'Hashtags', 'News']",Low
223,allen say evacuee mcdonald island overnight ,"['Factoid', 'Hashtags', 'News']",Low
224,say crew amp helicopter face challenge access nearby water source speaks highly pilot ffs ,"['Hashtags', 'Discussion']",Low
225,allen re ask people use some common sense here stay away fire don want waste resource ,"['Hashtags', 'News', 'Advice']",Low
226,tomorrow morning next update ll give more detail time ,"['Hashtags', 'News']",Low
227,want send big thank every fire fighter volunteer amp person whose help situation past hr ,"['Hashtags', 'News', 'Sentiment']",Low
228,icymi tonight partner education reception postpone out respect situation ,"['Location', 'Official', 'Hashtags']",Low
229,prairie creek resident allow back home shelter place ,"['MultimediaShare', 'News', 'Advice']",Low
230,please avoid conjecture school closure watch our website twitter facebook update later tonight ,"['Official', 'Hashtags', 'Advice']",Medium
231,any school relate information follow website up date info ,"['Hashtags', 'News', 'Advice']",Low
232,shout out local medium amp communication great job keep u update appreciate my friend ,"['Hashtags', 'Sentiment']",Low
233,resident prairie creek return home centennial trailer park still under mandatory evacuation ,"['Hashtags', 'News', 'Advice']",Low
234,why doesn just enforce ban clearly some aren responsible enough ,"['Hashtags', 'Discussion']",Low
235,update wildfire near hold km west airport rd detail ,"['MultimediaShare', 'Hashtags', 'News']",Low
236,fyi ,"['Hashtags', 'News', 'Advice']",Low
237,prairie creek area resident already come home few spoke unpack ,"['Hashtags', 'Discussion']",Low
238,smoke heavy over our neighbourhood today ,"['Hashtags', 'Discussion']",Low
239,thanks bite size news tweet ,"['Hashtags', 'Sentiment']",Low
240,very uneasy feeling tonight ash fall eagle ridge ,"['MultimediaShare', 'Hashtags', 'Sentiment']",Low
241,view smoke my front step thickwood tonight ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
242,environment canada say fort mcmurray reach high tuesday ,"['ThirdPartyObservation', 'Hashtags', 'Discussion']",Low
243,crazy amount ash fall sky tonight hood our van ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
244,thank service keep u safe everyone should give pat back fight ,"['Hashtags', 'Sentiment']",Low
245,view southwest my balcony look close snow ash ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
246,sun shin through smoke make look crazy ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
247,another wildfire just start sure where though ,"['NewSubEvent', 'MultimediaShare', 'Hashtags']",High
248,kind say always learn my way forward thanks your coverage ,"['Hashtags', 'Discussion']",Low
249,behold red sun fort mcmurray alberta ,"['MultimediaShare', 'Hashtags']",Low
250,great job update our citizen never doubt community band together ,"['Hashtags', 'Sentiment']",Low
251,thought citizen rmwb continue strong safe ,"['Hashtags', 'Sentiment']",Low
252,full burn leaf my front walk timberlea travel quite distance still whole ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
253,ash fall outside grateful all update throughout day provide amazing community ,"['Hashtags', 'Discussion']",Low
254,stay safe everybody ,"['MultimediaShare', 'Sentiment']",Low
255,smoke blanket sky here thickwood ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
256,ominous cloud highway head highway junction ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
257,stay safe hat off all crew volunteer ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
258,go ride tonight time get home my arm leg cover ash crazy ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
259,grateful awesome job brave men woman keep our community safe ,"['Hashtags', 'Sentiment']",Low
260,oh now help tcuttheforestrybudget ,"['MultimediaShare', 'Hashtags', 'News', 'Discussion']",Low
261,here updated map look like move away town ,"['MultimediaShare', 'Hashtags', 'News']",Medium
262,updated map progress make may ,"['MultimediaShare', 'Hashtags']",Medium
263,word express gratitude everyone air ground thank ,"['Hashtags', 'Sentiment']",Low
264,stop now impact response any other fire ,"['Hashtags', 'Discussion']",Low
265,would like thank volunteer firefighter amp everyone work hard handle fire safe ,"['Hashtags', 'Sentiment']",Low
266,people venture into district great shot amp re diservice ,"['Hashtags', 'Advice']",Low
267,don nenshi noun ,"['Hashtags', 'Advice']",Low
268,scene bring late resident return home expect tomorrow ,"['Hashtags', 'News']",Low
269,first pic second mackay cres ,"['MultimediaShare', 'Hashtags']",Medium
270,firefighting effort end night taiganova fire mostly extinguish ,"['MultimediaShare', 'Hashtags', 'News']",Low
271,late fire map ,"['MultimediaShare', 'News']",Medium
272,map accurate tonight thanks https ,"['MultimediaShare', 'Hashtags', 'News']",Medium
273,watch some resident return home report ,"['MultimediaShare', 'Hashtags', 'News']",Low
274,danng happy hear got go home rest shelter soo sorry praying ,"['Hashtags', 'Sentiment']",Low
275,when night fall all calm whisper wind hear anonymous http ,"['MultimediaShare', 'Hashtags']",Low
276,late map update more amp amp ,"['MultimediaShare', 'News']",Medium
277,all fmpsd school open tuesday ,"['Hashtags', 'News', 'Advice']",Medium
278,pray firefighter rain ,"['MultimediaShare', 'Factoid', 'Hashtags', 'News']",Medium
279,ready go live late nearly smoky far morning ,"['MultimediaShare', 'Hashtags', 'News']",Low
280,smoke significantly diminish near hopefully back end thanks all fight back ,"['Hashtags', 'Discussion']",Low
281,live update situation last update fire move away ,"['MultimediaShare', 'Hashtags', 'News']",Medium
282,fort mcmurray fire join u live update wildfire fighting effort ,"['MultimediaShare', 'Hashtags', 'News']",Low
283,yesterday stay safe everyone today suppose ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
284,prepared evacuate tonight via ,"['InformationWanted', 'Hashtags']",Low
285,morning area burn south hectare size still out control ,"['MultimediaShare', 'Factoid', 'Hashtags', 'News']",Medium
286,satellite truck ready go fort mcmurray ll cover fight effort all day htt ,"['MultimediaShare', 'Hashtags', 'News']",Low
287,plz read decision make because budget lose coverage ,"['Hashtags', 'Discussion']",Low
288,crew gain ground blaze tension still high ,"['MultimediaShare', 'Hashtags', 'News']",Low
289,gorgeous photo capture our region midst stay u discount rate ,"['MultimediaShare', 'Hashtags']",Low
290,feel thankful amazing firefighter amp incredibly hard work keep burn down ,"['Hashtags', 'Sentiment']",Low
291,live out town suppose drive up post surgery appt should postpone ,"['InformationWanted', 'Hashtags']",Medium
292,take extra care smoke situation happy ,"['MultimediaShare', 'Hashtags']",Low
293,wildfire grow shift away mcmurray overnight ,"['Hashtags', 'News']",Low
294,agree more many many many thanks still grateful enough ,"['Hashtags', 'Sentiment']",Low
295,get our run before smoke come up valley today ,['Irrelevant'],Low
296,helicopter fly overhead dump water yet look like re just get lay land http ,"['MultimediaShare', 'Hashtags', 'News']",Low
297,hold another press conference regard ll carry live amp ,"['Hashtags', 'News']",Low
298,official say take big run overnight double size hectare more firefighter call ,"['Factoid', 'Hashtags', 'News']",Medium
299,grow away town overnight reach athabasca river northern flank concern wind drive close town ,"['Hashtags', 'News']",Low
300,update wildfire situation medium brief stream live online today detail come soon ,"['Official', 'Hashtags', 'Advice']",Low
301,fort mcmurray wildfire double size overnight ,['Hashtags'],Low
302,gain ground fire double size overnight check your source ,"['MultimediaShare', 'Hashtags', 'Discussion']",Low
303,fort mcmurray wildfire push back even temperature climb ,"['MultimediaShare', 'Hashtags', 'News']",Low
304,would like advise donation currently accept thank everyone your generosity ,"['Official', 'Hashtags', 'Advice']",Medium
305,re grateful emergency personnel municipal provincial staff volunteer battle fire ,"['Hashtags', 'Sentiment']",Low
306,reminder evacuee welcome reception centre entrance golf course ,"['Official', 'Hashtags', 'Advice']",Medium
307,good morning landfill remain close until further notice precaution minimize risk staff amp customer ,"['Official', 'Hashtags', 'Advice']",Medium
308,watch emergency service aaf live update medium forest fire north west ,"['Official', 'Hashtags', 'Advice']",Medium
309,state emergency remain double size update come try livestream ,"['MultimediaShare', 'Hashtags', 'News', 'Advice']",Low
310,coverage update coming stay tune ,"['Hashtags', 'News']",Low
311,live soon official late ft mcmurray wildfire ,"['MultimediaShare', 'Hashtags', 'News']",Low
312,ready go press conference listen live amp ,"['MultimediaShare', 'Hashtags', 'News']",Low
313,get update minute fire push back away ,"['MultimediaShare', 'Hashtags', 'News']",Low
314,fort mcmurray fire update start min watch live here ,"['MultimediaShare', 'Hashtags', 'News']",Low
315,local office close until further notice look forward see again soon ,"['Hashtags', 'Advice']",Medium
316,wildfire double size overnight thgts much appreciation amp respect all help battle blaze ,"['Hashtags', 'Discussion']",Low
317,medium brief wood buffalo forest fire start live http ,"['MultimediaShare', 'Official', 'Hashtags']",Medium
318,live fort mcmurray fire official provide update wildfire situation ,"['Hashtags', 'News']",Low
319,livestream actually around official run behind few minute ,"['Hashtags', 'News']",Low
320,mayor blake up first re live amp ,"['Hashtags', 'News']",Low
321,mayor blake point out today world asthma day ,['Hashtags'],Low
322,mayor melissa blake say fire grow estimate hectare ,"['MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
